Delivery Number: 5, Reason: Missing Weight
Delivery Number: 947, Reason: Weight cannot be zero or negative
Delivery Number: 994, Reason: Weight cannot be zero or negative
Delivery Number: 1001, Reason: Missing Priority
Delivery Number: 1009, Reason: Missing Priority
Delivery Number: 1018, Reason: Missing Area
Delivery Number: 1029, Reason: Weight exceeds capacity
Delivery Number: 1034, Reason: Weight exceeds capacity
Delivery Number: 1039, Reason: Missing Priority
Delivery Number: 1060, Reason: Missing Priority
Delivery Number: 1066, Reason: Missing Priority
Delivery Number: 1077, Reason: Missing Area
Delivery Number: 1084, Reason: Missing Area
Delivery Number: 1093, Reason: Weight cannot be zero or negative
Delivery Number: 1099, Reason: Weight cannot be zero or negative
Delivery Number: 1104, Reason: Weight cannot be zero or negative
Delivery Number: 1111, Reason: Weight exceeds capacity
Delivery Number: 1114, Reason: Missing Area
Delivery Number: 1127, Reason: Missing Priority
Delivery Number: 1130, Reason: Weight cannot be zero or negative
Delivery Number: 1151, Reason: Weight cannot be zero or negative
Delivery Number: 1168, Reason: Missing Area
Delivery Number: 1173, Reason: Missing Area
Delivery Number: 1177, Reason: Missing Area
Delivery Number: 1184, Reason: Missing Weight
Delivery Number: 1189, Reason: Weight cannot be zero or negative
Delivery Number: 1205, Reason: Weight cannot be zero or negative
Delivery Number: 1218, Reason: Weight exceeds capacity
Delivery Number: 1246, Reason: Weight cannot be zero or negative
Delivery Number: 1254, Reason: Missing Weight
Delivery Number: 1268, Reason: Weight cannot be zero or negative
Delivery Number: 1269, Reason: Missing Area
Delivery Number: 1271, Reason: Weight exceeds capacity
Delivery Number: 1280, Reason: Missing Priority
Delivery Number: 1282, Reason: Missing Priority
Delivery Number: 1283, Reason: Weight cannot be zero or negative
Delivery Number: 1290, Reason: Weight cannot be zero or negative
Delivery Number: 1306, Reason: Weight cannot be zero or negative
Delivery Number: 1308, Reason: Weight cannot be zero or negative
Delivery Number: 1316, Reason: Weight cannot be zero or negative
Delivery Number: 1322, Reason: Missing Area
Delivery Number: 1338, Reason: Weight exceeds capacity
Delivery Number: 1339, Reason: Weight exceeds capacity
Delivery Number: 1364, Reason: Missing Area
Delivery Number: 1369, Reason: Missing Priority
Delivery Number: 1376, Reason: Weight cannot be zero or negative
Delivery Number: 1377, Reason: Weight cannot be zero or negative
Delivery Number: 1378, Reason: Weight cannot be zero or negative
Delivery Number: 1380, Reason: Weight exceeds capacity
Delivery Number: 1427, Reason: Missing Area
Delivery Number: 1434, Reason: Missing Weight
Delivery Number: 1435, Reason: Missing Area
Delivery Number: 1470, Reason: Missing Area
Delivery Number: 1476, Reason: Missing Area
Delivery Number: 1481, Reason: Weight cannot be zero or negative
Delivery Number: 1489, Reason: Weight cannot be zero or negative
Delivery Number: 1504, Reason: Weight cannot be zero or negative
Delivery Number: 1506, Reason: Weight exceeds capacity
Delivery Number: 1518, Reason: Weight exceeds capacity
Delivery Number: 1520, Reason: Missing Area
Delivery Number: 1533, Reason: Weight exceeds capacity
Delivery Number: 1538, Reason: Weight cannot be zero or negative
Delivery Number: 1553, Reason: Missing Priority
Delivery Number: 1565, Reason: Missing Area
Delivery Number: 1569, Reason: Missing Weight
Delivery Number: 1573, Reason: Missing Area
Delivery Number: 1591, Reason: Weight cannot be zero or negative
Delivery Number: 1605, Reason: Missing Area
Delivery Number: 1635, Reason: Missing Weight
Delivery Number: 1640, Reason: Missing Area
Delivery Number: 1648, Reason: Weight cannot be zero or negative
Delivery Number: 1661, Reason: Missing Area
Delivery Number: 1665, Reason: Missing Priority
Delivery Number: 1674, Reason: Weight cannot be zero or negative
Delivery Number: 1695, Reason: Weight cannot be zero or negative
Delivery Number: 1697, Reason: Missing Weight
Delivery Number: 1700, Reason: Weight cannot be zero or negative
Delivery Number: 1719, Reason: Missing Weight
Delivery Number: 1726, Reason: Missing Weight
Delivery Number: 1727, Reason: Missing Weight
Delivery Number: 1728, Reason: Missing Priority
Delivery Number: 1731, Reason: Weight cannot be zero or negative
Delivery Number: 1733, Reason: Weight exceeds capacity
Delivery Number: 1750, Reason: Missing Area
Delivery Number: 1758, Reason: Missing Priority
Delivery Number: 1775, Reason: Missing Area
Delivery Number: 1776, Reason: Weight exceeds capacity
Delivery Number: 1794, Reason: Weight cannot be zero or negative
Delivery Number: 1821, Reason: Weight cannot be zero or negative
Delivery Number: 1830, Reason: Missing Weight
Delivery Number: 1859, Reason: Missing Area
Delivery Number: 1864, Reason: Weight cannot be zero or negative
Delivery Number: 1875, Reason: Missing Area
Delivery Number: 1889, Reason: Weight cannot be zero or negative
Delivery Number: 1931, Reason: Missing Weight
Delivery Number: 1932, Reason: Weight cannot be zero or negative
Delivery Number: 1956, Reason: Weight exceeds capacity
Delivery Number: 1977, Reason: Missing Area
Delivery Number: 2031, Reason: Missing Area
Delivery Number: 2034, Reason: Weight exceeds capacity
Delivery Number: 2037, Reason: Weight cannot be zero or negative
Delivery Number: 2043, Reason: Weight exceeds capacity
Delivery Number: 2046, Reason: Missing Area
Delivery Number: 2066, Reason: Weight cannot be zero or negative
Delivery Number: 2075, Reason: Missing Area
Delivery Number: 2081, Reason: Missing Weight
Delivery Number: 2087, Reason: Weight cannot be zero or negative
Delivery Number: 2132, Reason: Weight cannot be zero or negative
Delivery Number: 2136, Reason: Missing Weight
Delivery Number: 2140, Reason: Missing Weight
Delivery Number: 2162, Reason: Missing Weight
Delivery Number: 2191, Reason: Missing Area
Delivery Number: 2208, Reason: Weight cannot be zero or negative
Delivery Number: 2212, Reason: Weight exceeds capacity
Delivery Number: 2231, Reason: Missing Weight
Delivery Number: 2243, Reason: Weight cannot be zero or negative
Delivery Number: 2277, Reason: Missing Area
Delivery Number: 2279, Reason: Missing Area
Delivery Number: 2308, Reason: Missing Area
Delivery Number: 2349, Reason: Weight cannot be zero or negative
Delivery Number: 2357, Reason: Weight cannot be zero or negative
Delivery Number: 2359, Reason: Missing Area
Delivery Number: 2364, Reason: Weight exceeds capacity
Delivery Number: 2366, Reason: Missing Area
Delivery Number: 2377, Reason: Missing Weight
Delivery Number: 2413, Reason: Missing Weight
Delivery Number: 2453, Reason: Weight cannot be zero or negative
Delivery Number: 2481, Reason: Missing Weight
Delivery Number: 2483, Reason: Weight cannot be zero or negative
Delivery Number: 2489, Reason: Missing Weight
Delivery Number: 2523, Reason: Weight cannot be zero or negative
Delivery Number: 2526, Reason: Weight cannot be zero or negative
Delivery Number: 2614, Reason: Weight cannot be zero or negative
Delivery Number: 2618, Reason: Missing Area
Delivery Number: 2626, Reason: Missing Priority
Delivery Number: 2676, Reason: Missing Area
Delivery Number: 2677, Reason: Missing Area
Delivery Number: 2684, Reason: Missing Priority
Delivery Number: 2691, Reason: Missing Area
Delivery Number: 2692, Reason: Weight exceeds capacity
Delivery Number: 2717, Reason: Missing Area
Delivery Number: 2721, Reason: Missing Area
Delivery Number: 2725, Reason: Missing Weight
Delivery Number: 2745, Reason: Weight cannot be zero or negative
Delivery Number: 2749, Reason: Weight cannot be zero or negative
Delivery Number: 2780, Reason: Missing Weight
Delivery Number: 2824, Reason: Weight exceeds capacity
Delivery Number: 2852, Reason: Weight exceeds capacity
Delivery Number: 2857, Reason: Weight cannot be zero or negative
Delivery Number: 2877, Reason: Weight cannot be zero or negative
Delivery Number: 2893, Reason: Missing Weight
Delivery Number: 2897, Reason: Missing Priority
Delivery Number: 2902, Reason: Missing Area
Delivery Number: 2939, Reason: Missing Area
Delivery Number: 2943, Reason: Weight cannot be zero or negative
Delivery Number: 2950, Reason: Weight exceeds capacity
Delivery Number: 2975, Reason: Missing Priority
Delivery Number: 2980, Reason: Weight exceeds capacity
Delivery Number: 2981, Reason: Weight exceeds capacity
Delivery Number: 2992, Reason: Weight cannot be zero or negative
Delivery Number: 2998, Reason: Weight cannot be zero or negative
Delivery Number: 3005, Reason: Missing Area
Delivery Number: 3017, Reason: Weight cannot be zero or negative
Delivery Number: 3025, Reason: Weight cannot be zero or negative
Delivery Number: 3054, Reason: Missing Area
Delivery Number: 3061, Reason: Weight cannot be zero or negative
Delivery Number: 3067, Reason: Weight cannot be zero or negative
Delivery Number: 3071, Reason: Weight cannot be zero or negative
Delivery Number: 3073, Reason: Missing Area
Delivery Number: 3079, Reason: Weight exceeds capacity
Delivery Number: 3116, Reason: Missing Priority
Delivery Number: 3123, Reason: Missing Priority
Delivery Number: 3139, Reason: Weight cannot be zero or negative
Delivery Number: 3141, Reason: Missing Priority
Delivery Number: 3166, Reason: Missing Area
Delivery Number: 3168, Reason: Missing Priority
Delivery Number: 3171, Reason: Missing Priority
Delivery Number: 3181, Reason: Weight exceeds capacity
Delivery Number: 3197, Reason: Weight exceeds capacity
Delivery Number: 3221, Reason: Missing Weight
Delivery Number: 3269, Reason: Missing Area
Delivery Number: 3282, Reason: Missing Priority
Delivery Number: 3288, Reason: Missing Priority
Delivery Number: 3290, Reason: Missing Weight
Delivery Number: 3312, Reason: Weight cannot be zero or negative
Delivery Number: 3333, Reason: Weight exceeds capacity
Delivery Number: 3338, Reason: Weight cannot be zero or negative
Delivery Number: 3354, Reason: Missing Priority
Delivery Number: 3375, Reason: Missing Area
Delivery Number: 3401, Reason: Weight exceeds capacity
Delivery Number: 3420, Reason: Missing Area
Delivery Number: 3449, Reason: Missing Area
Delivery Number: 3463, Reason: Missing Priority
Delivery Number: 3464, Reason: Missing Area
Delivery Number: 3471, Reason: Missing Priority
Delivery Number: 3507, Reason: Missing Area
Delivery Number: 3524, Reason: Weight cannot be zero or negative
Delivery Number: 3526, Reason: Weight cannot be zero or negative
Delivery Number: 3530, Reason: Missing Area
Delivery Number: 3549, Reason: Weight exceeds capacity
Delivery Number: 3556, Reason: Missing Area
Delivery Number: 3563, Reason: Missing Area
Delivery Number: 3592, Reason: Missing Weight
Delivery Number: 3610, Reason: Weight cannot be zero or negative
Delivery Number: 3615, Reason: Missing Weight
Delivery Number: 3656, Reason: Weight cannot be zero or negative
Delivery Number: 3660, Reason: Weight cannot be zero or negative
Delivery Number: 3664, Reason: Missing Area
Delivery Number: 3669, Reason: Missing Area
Delivery Number: 3689, Reason: Weight cannot be zero or negative
Delivery Number: 3703, Reason: Weight cannot be zero or negative
Delivery Number: 3707, Reason: Weight cannot be zero or negative
Delivery Number: 3730, Reason: Weight exceeds capacity
Delivery Number: 3753, Reason: Weight cannot be zero or negative
Delivery Number: 3756, Reason: Missing Area
Delivery Number: 3781, Reason: Weight cannot be zero or negative
Delivery Number: 3803, Reason: Missing Area
Delivery Number: 3826, Reason: Missing Area
Delivery Number: 3845, Reason: Weight exceeds capacity
Delivery Number: 3848, Reason: Weight exceeds capacity
Delivery Number: 3849, Reason: Weight cannot be zero or negative
Delivery Number: 3865, Reason: Weight cannot be zero or negative
Delivery Number: 3889, Reason: Missing Area
Delivery Number: 3894, Reason: Missing Weight
Delivery Number: 3895, Reason: Missing Area
Delivery Number: 3907, Reason: Missing Area
Delivery Number: 3918, Reason: Missing Priority
Delivery Number: 3933, Reason: Weight cannot be zero or negative
Delivery Number: 3941, Reason: Missing Area
Delivery Number: 3947, Reason: Weight cannot be zero or negative
Delivery Number: 3951, Reason: Weight cannot be zero or negative
Delivery Number: 3957, Reason: Missing Priority
Delivery Number: 3969, Reason: Missing Area
Delivery Number: 3970, Reason: Missing Area
Delivery Number: 3971, Reason: Missing Area
Delivery Number: 3974, Reason: Weight exceeds capacity
Delivery Number: 3988, Reason: Weight exceeds capacity
Delivery Number: 3993, Reason: Weight cannot be zero or negative
Delivery Number: 4040, Reason: Missing Priority
Delivery Number: 4054, Reason: Missing Area
Delivery Number: 4057, Reason: Missing Priority
Delivery Number: 4098, Reason: Missing Weight
Delivery Number: 4122, Reason: Weight cannot be zero or negative
Delivery Number: 4174, Reason: Missing Area
Delivery Number: 4185, Reason: Missing Priority
Delivery Number: 4202, Reason: Missing Area
Delivery Number: 4206, Reason: Weight cannot be zero or negative
Delivery Number: 4212, Reason: Missing Area
Delivery Number: 4228, Reason: Missing Weight
Delivery Number: 4232, Reason: Missing Weight
Delivery Number: 4238, Reason: Weight cannot be zero or negative
Delivery Number: 4249, Reason: Weight exceeds capacity
Delivery Number: 4251, Reason: Missing Area
Delivery Number: 4252, Reason: Missing Area
Delivery Number: 4266, Reason: Weight cannot be zero or negative
Delivery Number: 4270, Reason: Missing Area
Delivery Number: 4274, Reason: Weight cannot be zero or negative
Delivery Number: 4278, Reason: Weight cannot be zero or negative
Delivery Number: 4284, Reason: Missing Weight
Delivery Number: 4290, Reason: Missing Priority
Delivery Number: 4303, Reason: Missing Weight
Delivery Number: 4305, Reason: Missing Area
Delivery Number: 4324, Reason: Weight cannot be zero or negative
Delivery Number: 4333, Reason: Missing Priority
Delivery Number: 4349, Reason: Weight cannot be zero or negative
Delivery Number: 4357, Reason: Weight exceeds capacity
Delivery Number: 4379, Reason: Missing Area
Delivery Number: 4380, Reason: Missing Weight
Delivery Number: 4383, Reason: Missing Weight
Delivery Number: 4396, Reason: Missing Weight
Delivery Number: 4400, Reason: Weight cannot be zero or negative
Delivery Number: 4414, Reason: Missing Area
Delivery Number: 4417, Reason: Missing Area
Delivery Number: 4421, Reason: Missing Area
Delivery Number: 4458, Reason: Missing Area
Delivery Number: 4470, Reason: Missing Priority
Delivery Number: 4484, Reason: Missing Area
Delivery Number: 4495, Reason: Missing Area
Delivery Number: 4498, Reason: Missing Weight
Delivery Number: 4522, Reason: Weight cannot be zero or negative
Delivery Number: 4533, Reason: Weight exceeds capacity
Delivery Number: 4542, Reason: Weight exceeds capacity
Delivery Number: 4571, Reason: Missing Weight
Delivery Number: 4573, Reason: Weight cannot be zero or negative
Delivery Number: 4577, Reason: Missing Area
Delivery Number: 4589, Reason: Missing Priority
Delivery Number: 4623, Reason: Missing Priority
Delivery Number: 4633, Reason: Missing Priority
Delivery Number: 4640, Reason: Weight cannot be zero or negative
Delivery Number: 4681, Reason: Missing Area
Delivery Number: 4698, Reason: Missing Area
Delivery Number: 4704, Reason: Missing Area
Delivery Number: 4714, Reason: Missing Area
Delivery Number: 4724, Reason: Weight cannot be zero or negative
Delivery Number: 4727, Reason: Weight exceeds capacity
Delivery Number: 4749, Reason: Missing Area
Delivery Number: 4767, Reason: Missing Area
Delivery Number: 4806, Reason: Missing Priority
Delivery Number: 4864, Reason: Missing Weight
Delivery Number: 4879, Reason: Weight cannot be zero or negative
Delivery Number: 4883, Reason: Missing Area
Delivery Number: 4888, Reason: Missing Weight
Delivery Number: 4895, Reason: Missing Priority
Delivery Number: 4900, Reason: Missing Area
Delivery Number: 4930, Reason: Weight cannot be zero or negative
Delivery Number: 4969, Reason: Missing Area
Delivery Number: 4977, Reason: Weight cannot be zero or negative
Delivery Number: 4991, Reason: Weight exceeds capacity
Delivery Number: 5019, Reason: Weight exceeds capacity
Delivery Number: 5035, Reason: Weight cannot be zero or negative
Delivery Number: 5041, Reason: Weight cannot be zero or negative
Delivery Number: 5065, Reason: Missing Area
Delivery Number: 5066, Reason: Missing Priority
Delivery Number: 5067, Reason: Weight cannot be zero or negative
Delivery Number: 5085, Reason: Missing Area
Delivery Number: 5086, Reason: Weight cannot be zero or negative
Delivery Number: 5087, Reason: Missing Area
Delivery Number: 5092, Reason: Missing Area
Delivery Number: 5095, Reason: Missing Weight
Delivery Number: 5110, Reason: Weight cannot be zero or negative
Delivery Number: 5118, Reason: Weight cannot be zero or negative
Delivery Number: 5136, Reason: Weight cannot be zero or negative
Delivery Number: 5140, Reason: Weight cannot be zero or negative
Delivery Number: 5166, Reason: Missing Area
Delivery Number: 5172, Reason: Missing Area
Delivery Number: 5174, Reason: Missing Priority
Delivery Number: 5189, Reason: Weight exceeds capacity
Delivery Number: 5191, Reason: Weight cannot be zero or negative
Delivery Number: 5222, Reason: Weight cannot be zero or negative
Delivery Number: 5236, Reason: Weight cannot be zero or negative
Delivery Number: 5240, Reason: Missing Priority
Delivery Number: 5246, Reason: Weight cannot be zero or negative
Delivery Number: 5247, Reason: Missing Priority
Delivery Number: 5249, Reason: Weight cannot be zero or negative
Delivery Number: 5269, Reason: Weight cannot be zero or negative
Delivery Number: 5277, Reason: Missing Weight
Delivery Number: 5299, Reason: Weight exceeds capacity
Delivery Number: 5312, Reason: Missing Weight
Delivery Number: 5321, Reason: Weight exceeds capacity
Delivery Number: 5327, Reason: Missing Weight
Delivery Number: 5345, Reason: Weight cannot be zero or negative
Delivery Number: 5346, Reason: Missing Area
Delivery Number: 5348, Reason: Weight cannot be zero or negative
Delivery Number: 5398, Reason: Weight cannot be zero or negative
Delivery Number: 5410, Reason: Missing Area
Delivery Number: 5413, Reason: Missing Area
Delivery Number: 5416, Reason: Missing Area
Delivery Number: 5419, Reason: Missing Weight
Delivery Number: 5433, Reason: Weight cannot be zero or negative
Delivery Number: 5436, Reason: Weight cannot be zero or negative
Delivery Number: 5441, Reason: Missing Priority
Delivery Number: 5442, Reason: Weight cannot be zero or negative
Delivery Number: 5452, Reason: Weight exceeds capacity
Delivery Number: 5454, Reason: Weight cannot be zero or negative
Delivery Number: 5455, Reason: Missing Area
Delivery Number: 5461, Reason: Missing Area
Delivery Number: 5508, Reason: Missing Area
Delivery Number: 5546, Reason: Missing Area
Delivery Number: 5552, Reason: Missing Priority
Delivery Number: 5554, Reason: Missing Area
Delivery Number: 5556, Reason: Missing Priority
Delivery Number: 5597, Reason: Missing Area
Delivery Number: 5604, Reason: Weight cannot be zero or negative
Delivery Number: 5619, Reason: Weight cannot be zero or negative
Delivery Number: 5632, Reason: Missing Weight
Delivery Number: 5659, Reason: Missing Area
Delivery Number: 5688, Reason: Weight cannot be zero or negative
Delivery Number: 5702, Reason: Missing Area
Delivery Number: 5712, Reason: Missing Area
Delivery Number: 5724, Reason: Missing Area
Delivery Number: 5743, Reason: Weight exceeds capacity
Delivery Number: 5764, Reason: Missing Area
Delivery Number: 5766, Reason: Missing Area
Delivery Number: 5775, Reason: Weight exceeds capacity
Delivery Number: 5784, Reason: Weight cannot be zero or negative
Delivery Number: 5788, Reason: Weight exceeds capacity
Delivery Number: 5842, Reason: Weight cannot be zero or negative
Delivery Number: 5872, Reason: Weight cannot be zero or negative
Delivery Number: 5875, Reason: Weight exceeds capacity
Delivery Number: 5896, Reason: Weight cannot be zero or negative
Delivery Number: 5899, Reason: Missing Weight
Delivery Number: 5928, Reason: Missing Weight
Delivery Number: 5938, Reason: Missing Priority
Delivery Number: 5949, Reason: Missing Priority
Delivery Number: 5953, Reason: Missing Priority
Delivery Number: 5957, Reason: Missing Area
Delivery Number: 5976, Reason: Missing Weight
Delivery Number: 5996, Reason: Missing Area
Delivery Number: 5999, Reason: Missing Weight
Delivery Number: 6002, Reason: Weight cannot be zero or negative
Delivery Number: 6012, Reason: Missing Area
Delivery Number: 6033, Reason: Missing Priority
Delivery Number: 6039, Reason: Missing Area
Delivery Number: 6068, Reason: Missing Weight
Delivery Number: 6074, Reason: Weight cannot be zero or negative
Delivery Number: 6077, Reason: Weight cannot be zero or negative
Delivery Number: 6079, Reason: Weight cannot be zero or negative
Delivery Number: 6084, Reason: Weight cannot be zero or negative
Delivery Number: 6085, Reason: Missing Area
Delivery Number: 6092, Reason: Missing Weight
Delivery Number: 6104, Reason: Weight exceeds capacity
Delivery Number: 6109, Reason: Weight exceeds capacity
Delivery Number: 6136, Reason: Missing Weight
Delivery Number: 6150, Reason: Missing Area
Delivery Number: 6158, Reason: Missing Weight
Delivery Number: 6171, Reason: Missing Area
Delivery Number: 6187, Reason: Missing Priority
Delivery Number: 6193, Reason: Missing Priority
Delivery Number: 6195, Reason: Weight cannot be zero or negative
Delivery Number: 6200, Reason: Weight exceeds capacity
Delivery Number: 6206, Reason: Weight cannot be zero or negative
Delivery Number: 6207, Reason: Missing Priority
Delivery Number: 6212, Reason: Missing Weight
Delivery Number: 6214, Reason: Missing Area
Delivery Number: 6217, Reason: Weight exceeds capacity
Delivery Number: 6226, Reason: Weight cannot be zero or negative
Delivery Number: 6245, Reason: Missing Weight
Delivery Number: 6259, Reason: Missing Area
Delivery Number: 6262, Reason: Missing Area
Delivery Number: 6268, Reason: Missing Priority
Delivery Number: 6269, Reason: Missing Area
Delivery Number: 6272, Reason: Missing Area
Delivery Number: 6298, Reason: Missing Area
Delivery Number: 6300, Reason: Weight cannot be zero or negative
Delivery Number: 6306, Reason: Missing Priority
Delivery Number: 6334, Reason: Missing Area
Delivery Number: 6340, Reason: Missing Area
Delivery Number: 6341, Reason: Weight exceeds capacity
Delivery Number: 6369, Reason: Missing Area
Delivery Number: 6377, Reason: Missing Priority
Delivery Number: 6381, Reason: Missing Area
Delivery Number: 6389, Reason: Missing Area
Delivery Number: 6390, Reason: Missing Weight
Delivery Number: 6399, Reason: Missing Area
Delivery Number: 6407, Reason: Missing Area
Delivery Number: 6416, Reason: Missing Area
Delivery Number: 6439, Reason: Missing Weight
Delivery Number: 6479, Reason: Missing Area
Delivery Number: 6490, Reason: Missing Area
Delivery Number: 6506, Reason: Weight cannot be zero or negative
Delivery Number: 6507, Reason: Weight exceeds capacity
Delivery Number: 6516, Reason: Weight exceeds capacity
Delivery Number: 6520, Reason: Missing Weight
Delivery Number: 6521, Reason: Missing Weight
Delivery Number: 6530, Reason: Missing Weight
Delivery Number: 6537, Reason: Missing Area
Delivery Number: 6586, Reason: Missing Weight
Delivery Number: 6592, Reason: Missing Weight
Delivery Number: 6598, Reason: Missing Priority
Delivery Number: 6604, Reason: Missing Area
Delivery Number: 6615, Reason: Missing Weight
Delivery Number: 6620, Reason: Weight cannot be zero or negative
Delivery Number: 6633, Reason: Weight cannot be zero or negative
Delivery Number: 6637, Reason: Weight exceeds capacity
Delivery Number: 6639, Reason: Missing Weight
Delivery Number: 6648, Reason: Weight cannot be zero or negative
Delivery Number: 6662, Reason: Missing Weight
Delivery Number: 6665, Reason: Weight cannot be zero or negative
Delivery Number: 6669, Reason: Weight exceeds capacity
Delivery Number: 6676, Reason: Weight exceeds capacity
Delivery Number: 6678, Reason: Missing Area
Delivery Number: 6686, Reason: Missing Weight
Delivery Number: 6690, Reason: Missing Priority
Delivery Number: 6695, Reason: Missing Priority
Delivery Number: 6696, Reason: Weight exceeds capacity
Delivery Number: 6725, Reason: Missing Weight
Delivery Number: 6748, Reason: Missing Area
Delivery Number: 6751, Reason: Weight exceeds capacity
Delivery Number: 6770, Reason: Weight exceeds capacity
Delivery Number: 6776, Reason: Weight exceeds capacity
Delivery Number: 6777, Reason: Missing Area
Delivery Number: 6787, Reason: Weight cannot be zero or negative
Delivery Number: 6800, Reason: Weight exceeds capacity
Delivery Number: 6802, Reason: Weight cannot be zero or negative
Delivery Number: 6811, Reason: Weight cannot be zero or negative
Delivery Number: 6817, Reason: Weight exceeds capacity
Delivery Number: 6843, Reason: Missing Area
Delivery Number: 6844, Reason: Missing Weight
Delivery Number: 6847, Reason: Missing Area
Delivery Number: 6848, Reason: Missing Area
Delivery Number: 6851, Reason: Missing Weight
Delivery Number: 6872, Reason: Missing Priority
Delivery Number: 6880, Reason: Weight cannot be zero or negative
Delivery Number: 6884, Reason: Missing Priority
Delivery Number: 6893, Reason: Missing Area
Delivery Number: 6928, Reason: Missing Weight
Delivery Number: 6930, Reason: Missing Area
Delivery Number: 6943, Reason: Missing Area
Delivery Number: 6947, Reason: Missing Weight
Delivery Number: 6959, Reason: Missing Area
Delivery Number: 6960, Reason: Missing Priority
Delivery Number: 6994, Reason: Missing Area
Delivery Number: 7000, Reason: Weight cannot be zero or negative
Delivery Number: 7003, Reason: Missing Area
Delivery Number: 7041, Reason: Weight exceeds capacity
Delivery Number: 7068, Reason: Weight exceeds capacity
Delivery Number: 7082, Reason: Weight exceeds capacity
Delivery Number: 7090, Reason: Missing Weight
Delivery Number: 7099, Reason: Weight cannot be zero or negative
